[INFO][LEXER]LINE:	1	VALUE:	class		TOKEN:	T_RESERVE_WORD_CLASS
[INFO][LEXER]LINE:	1	VALUE:	Foo		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	1	VALUE:	{		TOKEN:	T_DEL_C_LPAREN
[INFO][LEXER]LINE:	2	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT
[INFO][LEXER]LINE:	2	VALUE:	var1		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	2	VALUE:	;		TOKEN:	T_DEL_SEMICOLON
[INFO][LEXER]LINE:	3	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT
[INFO][LEXER]LINE:	3	VALUE:	var2		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	3	VALUE:	;		TOKEN:	T_DEL_SEMICOLON
[INFO][LEXER]LINE:	4	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT
[INFO][LEXER]LINE:	4	VALUE:	var3		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	4	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	4	VALUE:	10		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	4	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	4	VALUE:	;		TOKEN:	T_DEL_SEMICOLON
[INFO][LEXER]LINE:	5	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT
[INFO][LEXER]LINE:	5	VALUE:	var4		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	5	VALUE:	2		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	5	VALUE:	3		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	5	VALUE:	4		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	5	VALUE:	6		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN
[INFO][LEXER]LINE:	5	VALUE:	7		TOKEN:	T_INTEGER
[INFO][LEXER]LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN
[INFO][LEXER]LINE:	5	VALUE:	;		TOKEN:	T_DEL_SEMICOLON
[INFO][LEXER]LINE:	6	VALUE:	Utility		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	6	VALUE:	utility		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	6	VALUE:	;		TOKEN:	T_DEL_SEMICOLON
[INFO][LEXER]LINE:	7	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT
[INFO][LEXER]LINE:	7	VALUE:	FindMax		TOKEN:	T_IDENTIFIER
[INFO][LEXER]LINE:	7	VALUE:	(		TOKEN:	T_DEL_R_LPAREN
[INFO][LEXER]LINE:	7	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT
